Date,Prev Close,Open,High,Low,Close,Change,Deals,Volume,Value
23/08/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,40.00,65745.00,98590901.40
24/08/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,30.00,270196.00,405199673.00
27/08/2018,1500.00,1500.00,1500.00,1485.00,1500.00,,28.00,180870.00,270669713.00
28/08/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,45.00,253692.00,380429473.00
29/08/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,32.00,32523.00,48760441.20
30/08/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,26.00,15114.00,21767710.10
31/08/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,93.00,81051.00,111459322.80
03/09/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,43.00,19055.00,26056248.20
04/09/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,37.00,17684.00,25130764.40
05/09/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,26.00,5187.00,7060464.00
06/09/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,41.00,16566.00,22418968.50
07/09/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,15.00,879.00,1191257.00
10/09/2018,1500.00,1500.00,1355.00,1355.00,1355.00,-145.00,73.00,87930.00,119771329.00
11/09/2018,1355.00,1355.00,1485.00,1355.00,1485.00,130.00,70.00,182301.00,250733572.40
12/09/2018,1485.00,1485.00,1479.00,1400.00,1479.00,-6.00,144.00,521819.00,748038009.30
13/09/2018,1479.00,1479.00,1399.90,1352.50,1398.00,-81.00,67.00,331958.00,461385063.00
14/09/2018,1398.00,1398.00,1370.00,1340.00,1370.00,-28.00,35.00,310088.00,424098442.30
17/09/2018,1370.00,1370.00,1350.00,1350.00,1350.00,-20.00,32.00,121174.00,163486577.60
19/09/2018,1380.50,1380.50,1380.50,1380.50,1380.50,,48.00,33596.00,46415772.60
20/09/2018,1380.50,1380.50,1380.50,1380.50,1380.50,,23.00,97348.00,134704065.10
21/09/2018,1380.50,1380.50,1400.00,1400.00,1400.00,19.50,41.00,283140.00,396390100.00
24/09/2018,1400.00,1400.00,1400.00,1400.00,1400.00,,25.00,29971.00,41367345.00
25/09/2018,1400.00,1400.00,1495.00,1495.00,1495.00,95.00,65.00,97268.00,141954507.70
26/09/2018,1495.00,1495.00,1495.00,1495.00,1495.00,,28.00,22734.00,32662097.70
27/09/2018,1495.00,1495.00,1432.50,1400.00,1432.50,-62.50,68.00,904565.00,1273902708.50
28/09/2018,1432.50,1432.50,1450.00,1400.00,1400.00,-32.50,51.00,269284.00,382330473.10
02/10/2018,1400.00,1400.00,1400.00,1399.00,1399.00,-1.00,51.00,214505.00,300045638.90
03/10/2018,1399.00,1399.00,1400.00,1399.00,1400.00,1.00,52.00,285836.00,400069222.00
04/10/2018,1400.00,1400.00,1400.00,1400.00,1400.00,,19.00,15977.00,22304120.10
05/10/2018,1400.00,1400.00,1400.00,1400.00,1400.00,,22.00,62448.00,87476506.00
08/10/2018,1400.00,1400.00,1400.00,1400.00,1400.00,,28.00,48170.00,67680476.30
09/10/2018,1400.00,1400.00,1405.00,1405.00,1405.00,5.00,22.00,85699.00,120574478.80
10/10/2018,1405.00,1405.00,1420.30,1420.30,1420.30,15.30,79.00,141860.00,203474832.10
11/10/2018,1420.30,1420.30,1430.00,1420.30,1430.00,9.70,76.00,214464.00,306413615.00
12/10/2018,1430.00,1430.00,1400.00,1400.00,1400.00,-30.00,53.00,142691.00,200850339.50
15/10/2018,1400.00,1400.00,1400.00,1400.00,1400.00,,38.00,13837.00,19023242.20
16/10/2018,1400.00,1400.00,1400.00,1400.00,1400.00,,42.00,93108.00,130338300.50
17/10/2018,1400.00,1400.00,1400.00,1400.00,1400.00,,48.00,57875.00,80683521.50
18/10/2018,1400.00,1400.00,1400.00,1400.00,1400.00,,37.00,29393.00,40955935.60
19/10/2018,1400.00,1400.00,1370.00,1370.00,1370.00,-30.00,68.00,109511.00,150019296.20
22/10/2018,1370.00,1370.00,1370.00,1370.00,1370.00,,26.00,8949.00,12301298.70
23/10/2018,1370.00,1370.00,1400.00,1370.00,1400.00,30.00,39.00,218258.00,299753989.60
24/10/2018,1400.00,1400.00,1370.00,1370.00,1370.00,-30.00,20.00,70216.00,96341755.50
25/10/2018,1370.00,1370.00,1380.00,1380.00,1380.00,10.00,33.00,151665.00,209279373.00
26/10/2018,1380.00,1380.00,1380.00,1380.00,1380.00,,32.00,92570.00,127893742.00
29/10/2018,1380.00,1380.00,1380.00,1380.00,1380.00,,20.00,15763.00,21770455.00
30/10/2018,1380.00,1380.00,1382.00,1380.00,1380.00,,98.00,148474.00,205030483.10
31/10/2018,1380.00,1380.00,1380.00,1380.00,1380.00,,67.00,234411.00,321507796.10
01/11/2018,1380.00,1380.00,1380.00,1360.00,1360.00,-20.00,56.00,157534.00,216555515.10
02/11/2018,1360.00,1360.00,1360.00,1360.00,1360.00,,46.00,24657.00,33884781.30
05/11/2018,1360.00,1360.00,1380.00,1380.00,1380.00,20.00,36.00,101138.00,139594333.00
06/11/2018,1380.00,1380.00,1430.00,1400.00,1430.00,50.00,32.00,507408.00,723833112.70
07/11/2018,1430.00,1430.00,1430.00,1430.00,1430.00,,38.00,16909.00,23735647.00
08/11/2018,1430.00,1430.00,1450.00,1440.00,1450.00,20.00,73.00,857450.00,1242477961.30
09/11/2018,1450.00,1450.00,1460.00,1460.00,1460.00,10.00,66.00,47751.00,69281941.40
12/11/2018,1460.00,1460.00,1460.00,1460.00,1460.00,,26.00,24560.00,34323262.10
